phi14,psi14,phi13,psi13
22.514589261333718,-7.376849602597587,-29.645082941136664,-38.937446955777894
36.70435778419748,-23.72384046581138,-57.8841377343258,-60.69251940423775
33.02836617862609,-4.751305185344366,-63.86991105160889,-49.14794556478468
35.095669986140585,0.9769261301297663,-50.240462983233215,-40.48057626070326
32.04078440538028,-9.179044314717663,-50.896022998861376,-29.94085201019895
33.4759133107481,-19.35013366676841,-73.86896487520868,-31.50968048261745
29.906146895887286,-14.38219985728595,-67.07780256278707,-42.91455971227595
44.19078865678224,-19.627879491025862,-71.84636220406644,-49.0038243766496
33.29971786719412,-15.931708277024013,-62.19150949126206,-65.12565793217739
32.30897246366387,-20.89765716117515,-51.76980454309198,-25.96389656127692
40.88739031637291,-16.51431664626792,-47.597828351034,-39.16754683893055
27.08443964351617,-18.916422461405936,-52.93162041443577,-22.008567655607113
14.488573701246644,-17.888535427289785,-44.5603908812455,-35.13061607369036
26.304234826594598,-32.43451723862239,-53.52639648986195,-23.79087872876464
38.993698336067105,-7.653341659141197,-64.11410708950596,-46.267980655608646
32.33476588062127,-25.59522456732024,-47.12942759256223,-48.661601008901826
37.3002470826791,-27.533026432774506,-38.87058118514087,-22.459302299049607
29.95872911627751,-26.03530250985381,-59.64912911386106,-49.40183257073623
32.42077620690788,-26.48774103695731,-67.41440065384926,-33.77483536227071
16.090460432202832,-11.905221058754584,-74.27363975560927,-56.40759910502113
41.24570265098495,-7.039966786836845,-57.80043294646564,-42.29780614765101
36.140827359278866,-9.317918209188283,-53.554766973906105,-32.68311900763924
41.11154759337271,-17.61385253159649,-48.780320981488714,-33.85171374727607
48.16729432683596,-7.252021938231348,-78.84864803323009,-44.29705395721513
38.1163316960853,-20.664820456092723,-32.31130138383622,-25.30996949684141
35.403904217745485,-2.198296059611538,-70.57555183275515,-61.587019627238796
40.75835909405695,-17.096021317412998,-57.49449229511181,-26.949075099008446
50.640469253343134,-15.105776056057719,-79.75772993324433,-36.18097097785039
40.62947014437979,-12.300172511570516,-43.76915295077075,-20.19470936275002
37.786521858515556,0.06066329933627852,-49.028308525293134,-31.382312364369472
26.62866614155794,-5.699845772455859,-63.92201333198467,-16.046243710135723
46.82239790709963,-1.5637349310438093,-74.42245423927977,-40.92047488865522
40.77300498204402,-9.632158832472214,-66.30483455447562,-49.598203513701506
30.346354240059274,-20.676199587965613,-57.954181203333704,-53.148357071628176
38.64257025012063,-10.102210706002284,-44.324145461935686,-24.860852471545556
45.158323486567454,-14.078322210635042,-37.07329126049317,-15.495553313138185
18.6112298812726,-25.650630471277704,-63.64960911666023,-58.066241218653765
46.24339078584089,-11.394198383093567,-60.05124100840537,-38.96358267823971
55.28558242603713,-9.733317197159598,-64.76931106112322,-46.419729506059646
32.12621752554033,-19.539997925362037,-69.32097143694111,-41.69337751011214
41.79655704750864,-16.444492707565015,-69.91957764884476,-47.21502041114346
30.535064533496804,-18.98567364287178,-64.3706108689712,-47.09060346756088
35.5279431544568,-9.527319742657243,-39.20868070813049,-27.15488314165964
36.91163528965434,-15.9219510466147,-47.28808363108774,-26.782468031749385
27.404312586451287,-24.045868558385347,-42.595336394066926,-30.06814687396619
32.18088793939768,-22.908021996020953,-56.463362413937475,-26.081256665793894
36.57676195708775,-16.00226164096008,-72.30735851411656,-53.942034169910805
39.343680285004034,-13.605071415770887,-45.11946834238579,-33.23099880608925
40.01853832455039,-10.408826617375416,-37.1001086919374,-19.66996030630463
47.99665133478248,-23.05033409679587,-59.284530734984024,-20.18389122879226
31.44519549202821,-25.698494779603184,-33.71659779465093,1.976159005867731
27.03657373514877,-8.268976612836928,-42.36285834586017,36.60140511673202
30.98974476115904,-21.79126617499541,-38.03715719307285,15.957999746432675
44.62915499017944,3.461822317480233,-35.54966340224458,13.403900036314914
37.57210222261667,-20.589780674989473,-19.31406524892755,-22.763646636038388
37.1756787083687,-14.434618917558373,-24.190387732910697,-0.659007685490853
32.07407973017244,-15.022814954252615,-30.48122357087395,-0.1424534627937161
24.52696980219827,-24.766918130938848,-24.747859286292158,3.60230509596734
47.589230585981674,-20.919375036722343,-33.24284305158485,11.668948794927577
33.261881051277584,-24.27333681187466,-28.1356475610641,0.2821982573604472
45.7072114364126,-22.364092355660087,-32.16036814218767,-7.497509942681088
38.51612938389388,-17.750504479158923,-34.74075978418421,-7.115886235611904
34.41193479141321,-25.05015891885248,-44.371272525035245,-41.2401978150244
33.62870114114636,-39.0567796218413,-39.46342604136887,-31.02367925560149
32.262570244786545,-24.857187581308857,-45.92725761902712,-19.93791607997853
34.846281548153804,-36.09225839659124,-34.31525350023274,3.160664794152163
33.303344954818606,-27.745724279430803,-44.184214299991964,-30.59588443342101
40.04693366636216,-22.05078652793387,-47.021843710723005,-37.86965555968598
39.100179290800064,-8.739422281124778,-25.42623167616755,-17.187801400459236
24.67049446969126,-7.0591269495987286,-24.559633347462754,17.76424607673724
34.67355667935386,-7.117950127733404,-36.81799111220064,-5.708815603226482
43.43528243407445,-7.597372028140895,-52.52262246994377,-30.746619435677296
29.510100289594742,-5.503250796314931,-60.125885680645155,-27.052511076342995
40.41541051590823,-14.188721359930728,-60.6274429214685,-55.79274883102696
39.462210582712196,-22.55339445105153,-67.6246095045953,-33.451112913892196
46.1138527604907,-14.963558999261132,-53.92002420874473,-35.060335895565046
32.83552463549724,-17.84087225959405,-52.508433424245055,-27.805237310089996
16.048863259307822,1.7486812087269665,-37.807555565865755,37.25709052283565
36.73066208059019,-6.581426847301368,-39.27664867245028,-6.907560851959202
37.586871679938774,-19.322875145615434,-31.239242189135826,6.529983624248356
40.69181393846614,-5.259819085335106,-23.65364526040114,-6.217285788356313
30.763602659611426,-28.72492870300868,-38.41738017000115,-28.200886563612958
37.05046541433318,-11.09270030401922,-32.88141340838437,-3.341799407664014
24.451918674444123,-4.185192877260711,-24.52507863268112,-14.875887406224905
35.732048782432344,-11.501340381400832,-32.06696791815058,7.1525700933590395
41.08062926444594,-22.829027908675556,-9.687469290490279,-27.733673223469943
31.738950971053765,-3.432058518802226,-29.79042372490535,22.420064962239113
23.44674965751219,0.4206173411789985,-8.84828001444344,13.92393998819804
37.15500693496551,-31.62330230929943,-16.213206500048372,-2.790509502584777
24.330679753204027,-12.8424386123743,-28.9298348729531,-15.088016811156114
35.19875946364128,-7.13098988617088,-27.217661177910323,33.20977487075135
20.95522701385047,-2.7430099612228176,-32.356911804294164,17.205695795411337
27.62790490713504,-13.566878108637498,-38.46673274797181,-26.566426086465942
31.544530382852535,-6.566416788316066,-68.29420381676302,-27.333264718515426
39.3673427922617,-8.128933539063691,-47.27593980644313,-33.919574746699006
37.89742449674469,-24.24074651901501,-38.921150509920075,-32.63934269615329
40.824538456291734,-13.484389431749738,-52.65837787340238,-26.380270153828608
51.42524813226751,-11.593900445415033,-47.803391464275734,-36.154294170361005
42.23983258681843,-21.443551435023135,-37.91981065770542,-31.854427237229046
32.86938096924634,4.355728291404736,-60.66388555311541,-10.546930158262091
51.58036432784492,-20.225834726490405,-27.569310779578856,6.797030010902829
46.84890532491992,-15.900744899833398,-37.48923718309958,-9.622400399688868
50.48541665079142,-15.043805104504376,-40.59359711346947,-4.791117095074613
30.684622494927996,-13.382103759865668,-18.884847764220815,-12.277923481653275
38.38770106802524,-23.925221876520062,-54.66193340609047,-32.34537412854045
33.1097340137365,-13.339733557284001,-45.24169930137537,-35.330435630110344
37.25522587523958,-28.700097213435708,-55.84287021412561,-37.28669029495529
41.39011183024182,-17.912217948264736,-51.910728164254266,-32.65172164506809
35.255307770986676,-31.555756249863492,-49.972880229116264,-24.599160854993126
29.172843882546815,-6.559002425008549,-38.86582784156252,-37.08444326769653
47.86020088871848,-11.053276910903648,-53.759746533900014,-20.605200922769352
36.01553457960291,-16.736679969210517,-40.12954036287187,-31.3797399989324
49.736557473132635,-19.640737673040963,-31.452142127231085,-32.0574585602206
42.73419888573214,-16.386786377058634,-44.03847995323186,2.845182375446617
51.94197217318668,-13.373955194174192,-39.045541883416426,3.680972279814337
29.325363562268482,-5.135387127983791,-45.64083009720479,-15.84900602268818
45.9155204860018,-29.782719577778607,-46.44985080034468,-23.392009598653935
35.22295184840502,5.504313071918859,-64.38605306603665,-53.986501984472405
44.08431538074413,-12.78136179663521,-68.8908059021286,-45.20201911605394
40.60373164116235,-28.490782913052737,-70.95499473584938,-35.06190242680554
49.28389731697821,-8.939040214584587,-77.3876713716643,-35.53776395506172
37.03189419286797,-24.954477208338627,-69.93316603815019,-36.29689555144574
18.52661013805908,0.034806121504666956,-24.6924250838084,-12.008686426013327
38.92843549602343,6.317933676681224,-32.85487938419349,-42.500019905965075
22.823121408363722,-16.92952250449333,-44.60680772542809,-27.55336709150789
49.0658652909571,-8.773221767779328,-43.969640871413596,-9.866850411582488
44.187269342067104,-16.30001808124246,-45.55759427714448,-24.38842878314231
35.191240127151254,-5.022106869769764,-51.84788142007914,-48.67690331631917
30.21398871173558,-13.915420882479609,-50.17031427756082,-37.66920194155401
39.60436826611116,-23.15843016794905,-52.28507766453519,-30.25031944628312
53.65398551123299,-58.3136572819226,-49.005908339907506,-21.64910277369268
42.93360984010333,-20.063222428433193,-56.383451358829525,-32.084372084903904
36.77906430812986,-11.24280567198756,-42.59248918456916,-35.42146801026975
44.254799173750634,-1.0698910309910916,-70.89508908223809,-42.84677415383482
32.09735400103853,-16.227448483336154,-58.89593023484569,-31.55138802081764
27.1084748662473,-1.9777815755417512,-42.66754721510444,-32.60513149403803
40.34363112548326,-14.484336389618843,-39.765128232656345,-35.594307978889574
43.168694570387984,-23.334320057258108,-64.06523311789906,-46.4008394709905
42.55399686435234,-15.065789736057631,-72.59132039154211,-42.30518926833123
42.01347170633358,-9.760537138648507,-74.3438196947198,-40.20514431546135
35.52288676498321,-18.46012577801012,-52.024186533470036,-35.02069283870146
39.099421380927765,-10.97134378515073,-47.39115329013487,-43.49314957692536
26.028642295672313,-3.9412853820592058,-23.11295580573293,-9.308182297945956
33.98108599189386,-26.090556013892034,-21.84127034393888,4.725316729239479
30.727037356055476,-3.1215555934734724,-31.61207065936045,-7.542164912165271
43.418638805267115,-20.775265812024777,-45.70688039549777,-31.959522659004506
16.77739670831316,-21.767239623305382,-44.18766041959357,-34.151184148875444
36.09358626126572,-20.652990788718128,-69.62462641649624,-55.452280044562286
42.50393024791726,-7.040032383145597,-61.01059277880612,-18.0350002952714
34.073445359316366,-31.5592086059218,-74.32649963090574,-53.74502647415982
33.98383931321637,-17.34241274598855,-42.737453786692896,-36.40644710903053
30.02975012623975,-7.029187035002541,-34.03003993938212,-28.378247004749852
