Block_ns,Block_frames,Avg_omega,Std_omega,Boot_omega_mean,Boot_omega_std,Avg_overlap,Std_overlap,Boot_overlap_mean,Boot_overlap_std,Norm_omega,Norm_overlap
10.0,100,0.37626506332415083,0.055820183788855844,0.7211979324210538,0.00926938463313219,[0.64772087 0.63062491],[0.25379878 0.27665741],[0.99121459 0.94740319],[0.00476062 0.03515403],0.521722326714156,"[0.653461799335089, 0.6656351975954222]"
20.0,200,0.435149817702721,0.05749969657859401,0.7751232868939557,0.007878154584966917,[0.68982673 0.67044762],[0.25121107 0.27346165],[0.99560369 0.96575559],[0.00226796 0.01760612],0.5613943292123716,"[0.6928728119602174, 0.6942207957663016]"
30.0,300,0.46900036535573014,0.04680896861463516,0.8063990948123917,0.0055865770118075945,[0.71694423 0.73738325],[0.22820852 0.22102669],[0.99689365 0.97432526],[0.00153292 0.00941304],0.5815983281390499,"[0.7191782419968386, 0.756814262223017]"
40.0,400,0.49090991116663363,0.04641941840886355,0.8256521165952251,0.0060055657940234946,[0.73398775 0.74297871],[0.22380974 0.21310616],[0.99787497 0.97543623],[0.00073401 0.01038483],0.5945723402139615,"[0.735550816444573, 0.7616886502117806]"
50.0,500,0.5045561377574217,0.043147461076097154,0.8391253016301035,0.00469113827571386,[0.78249566 0.78852805],[0.13438073 0.14254597],[0.99804026 0.97599608],[0.00077246 0.00751062],0.6012881947156875,"[0.7840321592892583, 0.8079213291835565]"
60.0,600,0.5178273671990419,0.04591440174234597,0.8513639245193061,0.004626283938114012,[0.78806362 0.81524033],[0.12549846 0.11388625],[0.99840565 0.97921043],[0.00070725 0.00742922],0.6082326867343076,"[0.7893220707266226, 0.832548664375269]"
70.0,700,0.5248520073034364,0.04376616495934402,0.8577012863247093,0.004569470594269006,[0.77299351 0.74606342],[0.08435401 0.18616717],[0.99835508 0.97854324],[0.00075637 0.00701233],0.6119286698897842,"[0.7742671155199536, 0.762422538247666]"
80.0,800,0.537722118947689,0.047774196673060015,0.8645429499908198,0.004509208559757833,[0.75304093 0.79444295],[0.24676909 0.22260438],[0.99849715 0.97919857],[0.00061063 0.0067786 ],0.6219727070279143,"[0.7541743343872639, 0.8113195610740264]"
90.0,900,0.5445593629424285,0.03699905963505856,0.869056849054401,0.0049763578794240195,[0.80572786 0.77843248],[0.10633493 0.12444448],[0.99867449 0.97931815],[0.00051303 0.00762499],0.6266095981349781,"[0.8067972756892031, 0.7948719021197597]"
100.0,1000,0.5597090880858386,0.04314221685157172,0.8734116873963128,0.00380283039109175,[0.8327355  0.82151468],[0.11840179 0.12671063],[0.99869411 0.98048874],[0.00061762 0.00627422],0.6408307744934826,"[0.8338243795114504, 0.8378624303650568]"
110.0,1100,0.5611010950219363,0.04646318075726062,0.8773511296775226,0.004066830001066143,[0.79274596 0.81943222],[0.12225837 0.11492172],[0.998847   0.98047833],[0.00044459 0.00560061],0.6395399470542352,"[0.793661046725647, 0.8357474117143221]"
