CV,phi,theta
0.704354,-56.9859200675109,111.65504614358194
0.551581,-35.44009881145608,107.05001928563985
0.586025,-25.008442785137383,108.04727212021602
0.742701,87.26008463077015,66.34496263304953
0.689058,-48.31474789488334,104.48532992701395
0.667636,77.5605427235983,106.67591127066372
0.750495,-166.53844433575537,170.0096528450309
0.702449,85.00250156560347,109.79583639736728
0.700293,98.45051030485172,116.25288739499669
0.638151,56.41606731395669,111.9396478403351
0.837383,62.083515309929595,51.61278372913073
0.741359,-91.55609251570253,124.67745556734599
0.700322,89.39506607184265,108.49689832004259
0.649228,54.54772076825767,50.34355524160045
0.409423,-88.02634640220084,34.58241141231956
0.63258,58.8268124046267,53.58029717035522
0.710035,60.83794815371571,57.484446846737185
0.681015,54.618641059089384,57.90413534045166
0.667765,51.6179621010043,54.40878024518702
0.650124,66.5811675775515,58.82648147816256
0.709697,64.49360922653807,61.76020769626471
0.661638,87.8370563625965,58.529878745074654
0.797569,-170.7035033919979,94.90300612827029
0.678954,83.67431004822957,63.55285126809681
0.699011,49.271806180098615,61.21529091360608
0.82566,-151.2751656542436,108.51989864737638
0.735398,66.39356172527083,52.696549935429864
0.929125,100.75630264694404,89.6426340650653
0.758,33.678894542869266,106.88879875578151
0.783599,84.79801863561936,72.38185252103558
0.933324,83.24268207604297,97.9370928447407
0.88461,115.78298680625069,100.84081353961919
0.816249,-170.24923060882813,111.29314781308005
0.901405,-177.62276144919997,109.46042299882919
0.803053,126.87608787665626,130.2067662988956
0.684766,84.10734864058253,62.13044280851753
0.841167,-139.78184471685918,108.29924228239894
0.949207,-164.656355747105,110.19704757120185
0.792024,107.59475975210356,120.01215397851709
0.780673,-142.96112300686121,114.60132010687897
0.776238,-150.82271229557375,116.73998250260564
0.840408,-168.5816741347128,96.53450385910567
0.896549,16.633302996519625,135.3240958027835
0.990542,26.830406973983763,48.19608601285671
0.699515,-72.17723918530673,82.68803432093983
0.929887,173.78234204845876,99.49708810818713
0.88163,-178.0183561381611,106.45254046132801
0.841239,-149.16108513332594,100.29483145863425
0.909071,44.89829672945876,86.90644717775875
