replica_num,cnn_pose_score,substrate
0,0.5922499999999999,UDP-Gla
1,0.36760000000000004,UDP-Gla
2,0.39925,UDP-Gla
3,0.5387,UDP-Gla
4,0.59335,UDP-Gla
5,0.5824,UDP-Gla
6,0.39365,UDP-Gla
7,0.49275,UDP-Gla
8,0.42425,UDP-Gla
9,0.39175,UDP-Gla
10,0.6524000000000001,UDP-Gla
11,0.63475,UDP-Gla
12,0.5225,UDP-Gla
13,0.6144000000000001,UDP-Gla
14,0.4614,UDP-Gla
15,0.5413,UDP-Gla
16,0.6287499999999999,UDP-Gla
17,0.4804,UDP-Gla
18,0.4621,UDP-Gla
19,0.43884999999999996,UDP-Gla
20,0.54055,UDP-Gla
21,0.43074999999999997,UDP-Gla
22,0.45299999999999996,UDP-Gla
23,0.7046,UDP-Gla
24,0.33785,UDP-Gla
25,0.4797,UDP-Gla
26,0.3084,UDP-Gla
27,0.5999,UDP-Gla
28,0.44835,UDP-Gla
29,0.72955,UDP-Gla
30,0.6743,UDP-Gla
