replica_num,cnn_pose_score,substrate
0,0.7360500000000001,UDP-Gal
1,0.64995,UDP-Gal
2,0.5324,UDP-Gal
3,0.6786,UDP-Gal
4,0.6574500000000001,UDP-Gal
5,0.7648,UDP-Gal
6,0.652,UDP-Gal
7,0.6637500000000001,UDP-Gal
8,0.75885,UDP-Gal
9,0.7097,UDP-Gal
10,0.7414000000000001,UDP-Gal
11,0.6534,UDP-Gal
12,0.7486999999999999,UDP-Gal
13,0.70075,UDP-Gal
14,0.7112,UDP-Gal
15,0.7539,UDP-Gal
16,0.70025,UDP-Gal
17,0.7006,UDP-Gal
18,0.7101999999999999,UDP-Gal
19,0.53915,UDP-Gal
20,0.6332500000000001,UDP-Gal
21,0.7277,UDP-Gal
22,0.742,UDP-Gal
23,0.74455,UDP-Gal
24,0.7081999999999999,UDP-Gal
25,0.6613,UDP-Gal
26,0.5885,UDP-Gal
27,0.7092499999999999,UDP-Gal
28,0.64505,UDP-Gal
29,0.7108,UDP-Gal
