replica_num,cnn_pose_score,substrate
0,0.68775,UDP-GlaA
1,0.6213,UDP-GlaA
2,0.6343,UDP-GlaA
3,0.7195,UDP-GlaA
4,0.74275,UDP-GlaA
5,0.7277,UDP-GlaA
6,0.6242,UDP-GlaA
7,0.6689499999999999,UDP-GlaA
8,0.6586,UDP-GlaA
9,0.61095,UDP-GlaA
10,0.7315,UDP-GlaA
11,0.5425,UDP-GlaA
12,0.74735,UDP-GlaA
13,0.6714500000000001,UDP-GlaA
14,0.6068,UDP-GlaA
15,0.6747,UDP-GlaA
16,0.54435,UDP-GlaA
17,0.63685,UDP-GlaA
18,0.7451,UDP-GlaA
19,0.6904,UDP-GlaA
20,0.5993999999999999,UDP-GlaA
21,0.712,UDP-GlaA
22,0.75865,UDP-GlaA
23,0.66495,UDP-GlaA
24,0.7253000000000001,UDP-GlaA
25,0.60925,UDP-GlaA
26,0.68345,UDP-GlaA
27,0.67095,UDP-GlaA
28,0.71645,UDP-GlaA
29,0.6711499999999999,UDP-GlaA
30,0.6191,UDP-GlaA
