replica_num,cnn_pose_score,substrate
0,0.71165,UDP-Glc
1,0.62185,UDP-Glc
2,0.78285,UDP-Glc
3,0.46675,UDP-Glc
4,0.6731,UDP-Glc
5,0.7016,UDP-Glc
6,0.5948,UDP-Glc
7,0.4072,UDP-Glc
8,0.47295,UDP-Glc
9,0.39105,UDP-Glc
10,0.70865,UDP-Glc
11,0.4216,UDP-Glc
12,0.6047,UDP-Glc
13,0.6001,UDP-Glc
14,0.5569,UDP-Glc
15,0.5093,UDP-Glc
16,0.5740000000000001,UDP-Glc
17,0.6809000000000001,UDP-Glc
18,0.5952,UDP-Glc
19,0.77475,UDP-Glc
20,0.64005,UDP-Glc
21,0.56315,UDP-Glc
22,0.5078,UDP-Glc
23,0.5734,UDP-Glc
24,0.5378499999999999,UDP-Glc
25,0.7118,UDP-Glc
26,0.3721,UDP-Glc
27,0.5595,UDP-Glc
28,0.6617500000000001,UDP-Glc
29,0.5358,UDP-Glc
30,0.8403499999999999,UDP-Glc
