replica_num,cnn_pose_score,substrate
0,0.32175,UDP-NGlu
1,0.5960000000000001,UDP-NGlu
2,0.44145,UDP-NGlu
3,0.52145,UDP-NGlu
4,0.33035000000000003,UDP-NGlu
5,0.3577,UDP-NGlu
6,0.4009,UDP-NGlu
7,0.5711999999999999,UDP-NGlu
8,0.3692,UDP-NGlu
9,0.4992,UDP-NGlu
10,0.322,UDP-NGlu
11,0.3293,UDP-NGlu
12,0.4793,UDP-NGlu
13,0.3166,UDP-NGlu
14,0.2996,UDP-NGlu
15,0.38125,UDP-NGlu
16,0.66605,UDP-NGlu
17,0.5237499999999999,UDP-NGlu
18,0.35315,UDP-NGlu
19,0.45489999999999997,UDP-NGlu
20,0.30755,UDP-NGlu
21,0.3483,UDP-NGlu
22,0.52345,UDP-NGlu
23,0.41785,UDP-NGlu
24,0.3833,UDP-NGlu
25,0.4862,UDP-NGlu
26,0.4605,UDP-NGlu
27,0.32384999999999997,UDP-NGlu
28,0.4315,UDP-NGlu
29,0.3665,UDP-NGlu
30,0.4353,UDP-NGlu
