replica_num,cnn_pose_score,substrate
0,0.6603,UDP-GlcNAc
1,0.6677500000000001,UDP-GlcNAc
2,0.6793,UDP-GlcNAc
3,0.6989000000000001,UDP-GlcNAc
4,0.70125,UDP-GlcNAc
5,0.6785,UDP-GlcNAc
6,0.6632499999999999,UDP-GlcNAc
7,0.7041,UDP-GlcNAc
8,0.67045,UDP-GlcNAc
9,0.6605000000000001,UDP-GlcNAc
10,0.66745,UDP-GlcNAc
11,0.6434500000000001,UDP-GlcNAc
12,0.6249,UDP-GlcNAc
13,0.7155,UDP-GlcNAc
14,0.64905,UDP-GlcNAc
15,0.63945,UDP-GlcNAc
16,0.69365,UDP-GlcNAc
17,0.6868000000000001,UDP-GlcNAc
18,0.6617,UDP-GlcNAc
19,0.61085,UDP-GlcNAc
20,0.7272,UDP-GlcNAc
21,0.6596,UDP-GlcNAc
22,0.65265,UDP-GlcNAc
23,0.6672,UDP-GlcNAc
24,0.67225,UDP-GlcNAc
25,0.6548,UDP-GlcNAc
26,0.7477,UDP-GlcNAc
27,0.60965,UDP-GlcNAc
28,0.6105,UDP-GlcNAc
29,0.66015,UDP-GlcNAc
