replica_num,cnn_pose_score,substrate
0,0.47985,UDP-GlaA
1,0.5964,UDP-GlaA
2,0.65755,UDP-GlaA
3,0.37625,UDP-GlaA
4,0.4747,UDP-GlaA
5,0.52845,UDP-GlaA
6,0.4142,UDP-GlaA
7,0.48845000000000005,UDP-GlaA
8,0.5145500000000001,UDP-GlaA
9,0.783,UDP-GlaA
10,0.497,UDP-GlaA
11,0.7110000000000001,UDP-GlaA
12,0.7605,UDP-GlaA
13,0.6637500000000001,UDP-GlaA
14,0.5451999999999999,UDP-GlaA
15,0.5341,UDP-GlaA
16,0.3678,UDP-GlaA
17,0.5530999999999999,UDP-GlaA
18,0.3687,UDP-GlaA
19,0.43095,UDP-GlaA
20,0.5574,UDP-GlaA
21,0.46199999999999997,UDP-GlaA
22,0.3604,UDP-GlaA
23,0.544,UDP-GlaA
24,0.72655,UDP-GlaA
25,0.431,UDP-GlaA
26,0.35545000000000004,UDP-GlaA
27,0.54575,UDP-GlaA
28,0.51415,UDP-GlaA
29,0.47275,UDP-GlaA
30,0.5216000000000001,UDP-GlaA
