replica_num,cnn_pose_score,substrate
0,0.7608999999999999,UDP-Glc
1,0.694,UDP-Glc
2,0.62695,UDP-Glc
3,0.63225,UDP-Glc
4,0.65285,UDP-Glc
5,0.6407,UDP-Glc
6,0.724,UDP-Glc
7,0.6841,UDP-Glc
8,0.722,UDP-Glc
9,0.7827500000000001,UDP-Glc
10,0.7181500000000001,UDP-Glc
11,0.72865,UDP-Glc
12,0.6810499999999999,UDP-Glc
13,0.6455500000000001,UDP-Glc
14,0.74415,UDP-Glc
15,0.7485999999999999,UDP-Glc
16,0.64905,UDP-Glc
17,0.5493,UDP-Glc
18,0.7032,UDP-Glc
19,0.47325,UDP-Glc
20,0.7014,UDP-Glc
21,0.5786,UDP-Glc
22,0.7218,UDP-Glc
23,0.77035,UDP-Glc
24,0.67885,UDP-Glc
25,0.7535000000000001,UDP-Glc
26,0.71255,UDP-Glc
27,0.8139000000000001,UDP-Glc
28,0.7112,UDP-Glc
29,0.7783,UDP-Glc
30,0.6414500000000001,UDP-Glc
