replica_num,cnn_pose_score,substrate
0,0.5661499999999999,UDP-GlcA
1,0.6999500000000001,UDP-GlcA
2,0.6657,UDP-GlcA
3,0.7151,UDP-GlcA
4,0.60355,UDP-GlcA
5,0.5710500000000001,UDP-GlcA
6,0.6956,UDP-GlcA
7,0.63575,UDP-GlcA
8,0.6925,UDP-GlcA
9,0.6751,UDP-GlcA
10,0.73935,UDP-GlcA
11,0.68535,UDP-GlcA
12,0.72475,UDP-GlcA
13,0.6353,UDP-GlcA
14,0.73955,UDP-GlcA
15,0.58735,UDP-GlcA
16,0.6133,UDP-GlcA
17,0.7408,UDP-GlcA
18,0.6599999999999999,UDP-GlcA
19,0.7051499999999999,UDP-GlcA
20,0.7141,UDP-GlcA
21,0.65735,UDP-GlcA
22,0.663,UDP-GlcA
23,0.7702,UDP-GlcA
24,0.7463,UDP-GlcA
25,0.7166,UDP-GlcA
26,0.74595,UDP-GlcA
27,0.7007000000000001,UDP-GlcA
28,0.6429499999999999,UDP-GlcA
29,0.70635,UDP-GlcA
30,0.65015,UDP-GlcA
