replica_num,cnn_pose_score,substrate
0,0.6192500000000001,UDP-GalNAc
1,0.6568,UDP-GalNAc
2,0.5858,UDP-GalNAc
3,0.6513,UDP-GalNAc
4,0.6026499999999999,UDP-GalNAc
5,0.46115,UDP-GalNAc
6,0.57955,UDP-GalNAc
7,0.6865,UDP-GalNAc
8,0.69375,UDP-GalNAc
9,0.6024,UDP-GalNAc
10,0.5105999999999999,UDP-GalNAc
11,0.6002,UDP-GalNAc
12,0.65625,UDP-GalNAc
13,0.5650999999999999,UDP-GalNAc
14,0.6752,UDP-GalNAc
15,0.6381,UDP-GalNAc
16,0.5927,UDP-GalNAc
17,0.45685,UDP-GalNAc
18,0.7070000000000001,UDP-GalNAc
19,0.6049,UDP-GalNAc
20,0.70535,UDP-GalNAc
21,0.59595,UDP-GalNAc
22,0.6032500000000001,UDP-GalNAc
23,0.71695,UDP-GalNAc
24,0.5623,UDP-GalNAc
25,0.60875,UDP-GalNAc
26,0.6012,UDP-GalNAc
27,0.5470999999999999,UDP-GalNAc
28,0.50595,UDP-GalNAc
29,0.5801499999999999,UDP-GalNAc
30,0.605,UDP-GalNAc
