replica_num,cnn_pose_score,substrate
0,0.6192500000000001,UDP-NGla
1,0.6568,UDP-NGla
2,0.5858,UDP-NGla
3,0.6513,UDP-NGla
4,0.6026499999999999,UDP-NGla
5,0.46115,UDP-NGla
6,0.57955,UDP-NGla
7,0.6865,UDP-NGla
8,0.69375,UDP-NGla
9,0.6024,UDP-NGla
10,0.5105999999999999,UDP-NGla
11,0.6002,UDP-NGla
12,0.65625,UDP-NGla
13,0.5650999999999999,UDP-NGla
14,0.6752,UDP-NGla
15,0.6381,UDP-NGla
16,0.5927,UDP-NGla
17,0.45685,UDP-NGla
18,0.7070000000000001,UDP-NGla
19,0.6049,UDP-NGla
20,0.70535,UDP-NGla
21,0.59595,UDP-NGla
22,0.6032500000000001,UDP-NGla
23,0.71695,UDP-NGla
24,0.5623,UDP-NGla
25,0.60875,UDP-NGla
26,0.6012,UDP-NGla
27,0.5470999999999999,UDP-NGla
28,0.50595,UDP-NGla
29,0.5801499999999999,UDP-NGla
30,0.605,UDP-NGla
