replica_num,cnn_pose_score,substrate
0,0.6603,UDP-NGlu
1,0.6677500000000001,UDP-NGlu
2,0.6793,UDP-NGlu
3,0.6989000000000001,UDP-NGlu
4,0.70125,UDP-NGlu
5,0.6785,UDP-NGlu
6,0.6632499999999999,UDP-NGlu
7,0.7041,UDP-NGlu
8,0.67045,UDP-NGlu
9,0.6605000000000001,UDP-NGlu
10,0.66745,UDP-NGlu
11,0.6434500000000001,UDP-NGlu
12,0.6249,UDP-NGlu
13,0.7155,UDP-NGlu
14,0.64905,UDP-NGlu
15,0.63945,UDP-NGlu
16,0.69365,UDP-NGlu
17,0.6868000000000001,UDP-NGlu
18,0.6617,UDP-NGlu
19,0.61085,UDP-NGlu
20,0.7272,UDP-NGlu
21,0.6596,UDP-NGlu
22,0.65265,UDP-NGlu
23,0.6672,UDP-NGlu
24,0.67225,UDP-NGlu
25,0.6548,UDP-NGlu
26,0.7477,UDP-NGlu
27,0.60965,UDP-NGlu
28,0.6105,UDP-NGlu
29,0.66015,UDP-NGlu
30,0.72795,UDP-NGlu
