replica_num,cnn_pose_score,substrate
0,0.68775,UDP-GalA
1,0.6213,UDP-GalA
2,0.6343,UDP-GalA
3,0.7195,UDP-GalA
4,0.74275,UDP-GalA
5,0.7277,UDP-GalA
6,0.6242,UDP-GalA
7,0.6689499999999999,UDP-GalA
8,0.6586,UDP-GalA
9,0.61095,UDP-GalA
10,0.7315,UDP-GalA
11,0.5425,UDP-GalA
12,0.74735,UDP-GalA
13,0.6714500000000001,UDP-GalA
14,0.6068,UDP-GalA
15,0.6747,UDP-GalA
16,0.54435,UDP-GalA
17,0.63685,UDP-GalA
18,0.7451,UDP-GalA
19,0.6904,UDP-GalA
20,0.5993999999999999,UDP-GalA
21,0.712,UDP-GalA
22,0.75865,UDP-GalA
23,0.66495,UDP-GalA
24,0.7253000000000001,UDP-GalA
25,0.60925,UDP-GalA
26,0.68345,UDP-GalA
27,0.67095,UDP-GalA
28,0.71645,UDP-GalA
29,0.6711499999999999,UDP-GalA
