replica_num,cnn_pose_score,substrate
0,0.47985,UDP-GalA
1,0.5964,UDP-GalA
2,0.65755,UDP-GalA
3,0.37625,UDP-GalA
4,0.4747,UDP-GalA
5,0.52845,UDP-GalA
6,0.4142,UDP-GalA
7,0.48845000000000005,UDP-GalA
8,0.5145500000000001,UDP-GalA
9,0.783,UDP-GalA
10,0.497,UDP-GalA
11,0.7110000000000001,UDP-GalA
12,0.7605,UDP-GalA
13,0.6637500000000001,UDP-GalA
14,0.5451999999999999,UDP-GalA
15,0.5341,UDP-GalA
16,0.3678,UDP-GalA
17,0.5530999999999999,UDP-GalA
18,0.3687,UDP-GalA
19,0.43095,UDP-GalA
20,0.5574,UDP-GalA
21,0.46199999999999997,UDP-GalA
22,0.3604,UDP-GalA
23,0.544,UDP-GalA
24,0.72655,UDP-GalA
25,0.431,UDP-GalA
26,0.35545000000000004,UDP-GalA
27,0.54575,UDP-GalA
28,0.51415,UDP-GalA
29,0.47275,UDP-GalA
30,0.5216000000000001,UDP-GalA
