replica_num,cnn_pose_score,substrate
0,0.6214500000000001,UDP-GalNAc
1,0.67145,UDP-GalNAc
2,0.67675,UDP-GalNAc
3,0.62005,UDP-GalNAc
4,0.5880000000000001,UDP-GalNAc
5,0.6456,UDP-GalNAc
6,0.5879000000000001,UDP-GalNAc
7,0.54355,UDP-GalNAc
8,0.5607500000000001,UDP-GalNAc
9,0.6988,UDP-GalNAc
10,0.62045,UDP-GalNAc
11,0.6231,UDP-GalNAc
12,0.68205,UDP-GalNAc
13,0.6536,UDP-GalNAc
14,0.58525,UDP-GalNAc
15,0.6076,UDP-GalNAc
16,0.57985,UDP-GalNAc
17,0.6353,UDP-GalNAc
18,0.67005,UDP-GalNAc
19,0.6819500000000001,UDP-GalNAc
20,0.5588,UDP-GalNAc
21,0.6351,UDP-GalNAc
22,0.65535,UDP-GalNAc
23,0.5952999999999999,UDP-GalNAc
24,0.64525,UDP-GalNAc
25,0.59995,UDP-GalNAc
26,0.67485,UDP-GalNAc
27,0.52225,UDP-GalNAc
28,0.6134999999999999,UDP-GalNAc
29,0.62325,UDP-GalNAc
