replica_num,cnn_pose_score,substrate
0,0.5922499999999999,UDP-Gal
1,0.36760000000000004,UDP-Gal
2,0.39925,UDP-Gal
3,0.5387,UDP-Gal
4,0.59335,UDP-Gal
5,0.5824,UDP-Gal
6,0.39365,UDP-Gal
7,0.49275,UDP-Gal
8,0.42425,UDP-Gal
9,0.39175,UDP-Gal
10,0.6524000000000001,UDP-Gal
11,0.63475,UDP-Gal
12,0.5225,UDP-Gal
13,0.6144000000000001,UDP-Gal
14,0.4614,UDP-Gal
15,0.5413,UDP-Gal
16,0.6287499999999999,UDP-Gal
17,0.4804,UDP-Gal
18,0.4621,UDP-Gal
19,0.43884999999999996,UDP-Gal
20,0.54055,UDP-Gal
21,0.43074999999999997,UDP-Gal
22,0.45299999999999996,UDP-Gal
23,0.7046,UDP-Gal
24,0.33785,UDP-Gal
25,0.4797,UDP-Gal
26,0.3084,UDP-Gal
27,0.5999,UDP-Gal
28,0.44835,UDP-Gal
29,0.72955,UDP-Gal
30,0.6743,UDP-Gal
