replica_num,cnn_pose_score,substrate
0,0.4556,UDP-GlcA
1,0.72375,UDP-GlcA
2,0.59845,UDP-GlcA
3,0.4555,UDP-GlcA
4,0.4162,UDP-GlcA
5,0.61615,UDP-GlcA
6,0.6073500000000001,UDP-GlcA
7,0.38034999999999997,UDP-GlcA
8,0.69885,UDP-GlcA
9,0.4588,UDP-GlcA
10,0.56355,UDP-GlcA
11,0.65415,UDP-GlcA
12,0.54035,UDP-GlcA
13,0.71845,UDP-GlcA
14,0.5276000000000001,UDP-GlcA
15,0.7423,UDP-GlcA
16,0.5365,UDP-GlcA
17,0.6734,UDP-GlcA
18,0.5442,UDP-GlcA
19,0.5277000000000001,UDP-GlcA
20,0.61575,UDP-GlcA
21,0.5061,UDP-GlcA
22,0.58085,UDP-GlcA
23,0.49025,UDP-GlcA
24,0.5073000000000001,UDP-GlcA
25,0.76525,UDP-GlcA
26,0.6787000000000001,UDP-GlcA
27,0.5988,UDP-GlcA
28,0.49944999999999995,UDP-GlcA
29,0.5896,UDP-GlcA
30,0.5886,UDP-GlcA
