replica_num,cnn_pose_score,substrate
0,0.32175,UDP-GlcNAc
1,0.5960000000000001,UDP-GlcNAc
2,0.44145,UDP-GlcNAc
3,0.52145,UDP-GlcNAc
4,0.33035000000000003,UDP-GlcNAc
5,0.3577,UDP-GlcNAc
6,0.4009,UDP-GlcNAc
7,0.5711999999999999,UDP-GlcNAc
8,0.3692,UDP-GlcNAc
9,0.4992,UDP-GlcNAc
10,0.322,UDP-GlcNAc
11,0.3293,UDP-GlcNAc
12,0.4793,UDP-GlcNAc
13,0.3166,UDP-GlcNAc
14,0.2996,UDP-GlcNAc
15,0.38125,UDP-GlcNAc
16,0.66605,UDP-GlcNAc
17,0.5237499999999999,UDP-GlcNAc
18,0.35315,UDP-GlcNAc
19,0.45489999999999997,UDP-GlcNAc
20,0.30755,UDP-GlcNAc
21,0.3483,UDP-GlcNAc
22,0.52345,UDP-GlcNAc
23,0.41785,UDP-GlcNAc
24,0.3833,UDP-GlcNAc
25,0.4862,UDP-GlcNAc
26,0.4605,UDP-GlcNAc
27,0.32384999999999997,UDP-GlcNAc
28,0.4315,UDP-GlcNAc
29,0.3665,UDP-GlcNAc
30,0.4353,UDP-GlcNAc
